,Team,W,D,L,P
14,Uppsala Ultimates,15,6,9,50
2,Goteborg Gamers,15,11,4,50
12,Stockholm Sandwiches,16,11,3,49
8,Norrkoping Noobs,12,5,13,44
15,Vasteras Vampires,13,9,8,42
7,Malmo Monsters,11,7,12,42
9,Orebro Oysters,14,10,6,41
13,Umea Umbrellas,11,6,13,38
11,Sollentuna Scientists,12,7,11,36
4,Jonkoping Jetlags,9,8,13,33
6,Lund Lawyers,6,13,11,32
10,Sodertalje Swimmers,4,10,16,29
3,Helsingborg Hammers,12,5,13,28
1,Gavle Gansters,7,11,12,27
0,Boras Bachelors,8,6,16,27
5,Linkoping Lieutenants,10,5,15,25
